F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,prob1,prob2,prob3,classLabel
0,0,1,0,0,0,0,0.0013,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0353,0.0158,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.06E-03,5.09E-04,NoBug
0,0,1,0,0,0,0,0.0014,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0314,0.031,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.13E-03,5.61E-04,NoBug
0,0,1,0,0,0,0,0.0016,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0039,0.239,0,0,1,0,0,0,0,1,0,0,0.9956234,0.00257657,0.00180001,NoBug
0,0,1,0,0,0,0,0.0016,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0157,0.0078,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.08E-03,5.25E-04,NoBug
0,0,1,0,0,0,0,0.0016,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0353,0.1004,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.45E-03,7.97E-04,NoBug
0,0,1,0,0,0,0,0.0018,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0353,0.1004,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.45E-03,7.97E-04,NoBug
0,0,1,0,0,0,0,0.002,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0196,0.091,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.46E-03,8.03E-04,NoBug
0,0,1,0,0,0,0,0.002,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0039,0.0517,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.32E-03,6.93E-04,NoBug
0,0,1,0,0,0,0,0.002,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0157,0.0779,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.41E-03,7.61E-04,NoBug
0,0,1,0,0,0,0,0.002,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0353,0.145,0,0,1,0,0,0,0,1,0,0,0.9972941,0.0017027,0.00100312,NoBug
0,0,1,0,0,0,0,0.0027,0,1,0,0,0,0.7529,0.6588,0.7843,0.0196,0.0185,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,3.26E-04,3.99E-03,9.96E-01,NoBug
0,0,1,0,0,0,0,0.0027,0,1,0,0,0,0.7529,0.6588,0.7843,0.0039,0.1224,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,5.49E-04,5.98E-03,9.93E-01,NoBug
0,0,1,0,0,0,0,0.0028,0,1,0,0,0,0.7529,0.6588,0.7843,0.0157,0.0272,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,3.39E-04,4.12E-03,9.96E-01,NoBug
0,0,1,0,0,0,0,0.0031,0,1,0,0,0,0.7529,0.6588,0.7843,0.0196,0.0444,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,3.76E-04,4.45E-03,9.95E-01,NoBug
0,0,1,0,0,0,0,0.0031,0,1,0,0,0,0.7529,0.6588,0.7843,0.0039,0.8401,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,0.01310969,0.05898795,0.9279024,NoBug
0,0,1,0,0,0,0,0.0031,0,1,0,0,0,0.7529,0.6588,0.7843,0.0157,0.1375,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,6.11E-04,6.44E-03,9.93E-01,NoBug
0,0,1,0,0,0,0,0.0033,0,1,0,0,0,0.7529,0.6588,0.7843,0.0039,0.0004,0.7529,0.6588,0.8627,0.0627,0.7847,0,0,1,0,1,0,1,0,0,0,2.83E-04,3.61E-03,9.96E-01,NoBug
0,0,1,0,0,0,0,0.0033,0,1,0,0,0,0.7529,0.6588,0.7843,0.0353,0.0021,0.7529,0.6588,0.8627,0.0627,0.7857,0,0,1,0,1,0,0,1,0,0,0.01030338,0.06956327,0.92013335,NoBug
0,0,1,0,0,0,0,0.0033,0,1,0,0,0,0.7529,0.6588,0.7843,0.0078,0.0202,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,3.19E-04,3.96E-03,9.96E-01,NoBug
0,0,1,0,0,0,0,0.0034,0,1,0,0,0,0.7529,0.6588,0.7843,0.0118,0.3086,0.7529,0.6588,0.8627,0.0627,0.7837,0,0,1,0,1,0,1,0,0,0,0.00142766,0.01215194,0.9864204,NoBug
0,0,1,0,0,0,0,0.0011,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7837,0.7529,0.6588,0.7843,0.0314,0.031,0,0,1,0,0,0,0,1,0,0,9.98E-01,1.13E-03,5.61E-04,NoBug
0,0,1,0,0,0,0,0.0011,0,0,1,0,0,0.7529,0.6588,0.8235,0.0118,0.0021,0.7529,0.6588,0.8235,1,0.0021,0,0,1,0,0,0,0,0,0,0,1.77E-02,9.81E-01,9.20E-04,NoBug
0,0,1,0,0,0,0,0.0012,0,1,0,0,0,0.7529,0.6588,0.8627,0.0392,0.614,0.7529,0.6588,0.3922,0.0196,0.0068,0,0,1,0,1,1,0,0,0,0,2.27E-03,9.98E-01,5.06E-05,NoBug
0,0,1,0,0,0,0,0.0012,0,1,0,0,0,0.7529,0.6588,0.3922,0.0196,0.0068,0.7529,0.6588,0.8627,0.0392,0.614,0,0,1,0,1,1,0,0,0,0,7.23E-04,9.98E-01,8.51E-04,NoBug
0,0,1,0,0,0,0,0.0012,0,0,1,0,0,0.7529,0.6588,0.8627,0.0471,0.0021,0.7529,0.6588,0.8627,1,0.0021,0,0,1,0,0,0,0,0,0,0,0.02980116,0.9686913,0.00150751,NoBug
0,0,1,0,0,0,0,0.0013,0,1,0,0,0,0.7529,0.6588,0.7843,0.0314,0.0021,0.7529,0.6588,0.8627,0.0627,0.7844,0,0,1,0,1,0,0,1,0,0,0.01025046,0.06962609,0.92012346,NoBug
0,0,1,0,0,0,0,0.0013,0,1,0,0,0,0.7529,0.6588,0.8627,0.0627,0.7844,0.7529,0.6588,0.7843,0.0314,0.0021,0,0,1,0,0,0,1,1,0,0,9.91E-01,3.23E-04,8.39E-03,NoBug
0,0,1,0,0,0,0,0.0013,0,1,0,0,0,0.7529,0.6588,0.3922,0.0196,0.0068,0.7529,0.6588,0.8627,0.0353,0.5781,0,0,1,0,1,1,0,0,0,0,7.10E-04,9.98E-01,7.99E-04,NoBug
0,0,1,0,0,0,0,0.0013,0,1,0,0,0,0.7529,0.6588,0.8627,0.0353,0.5781,0.7529,0.6588,0.3922,0.0196,0.0068,0,0,1,0,1,1,0,0,0,0,2.06E-03,9.98E-01,4.92E-05,NoBug
