Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,Feat13,Feat14,Feat15,Feat16,Feat17,Feat18,Feat19,Feat20,Feat21,Feat22,Feat23,Feat24,Feat25,Feat26,Feat27,Feat28,Feat29,Feat30,Feat31,Feat32,Feat33,Feat34,Feat35,Feat36,Feat37,Feat38,Feat39,Feat40,Feat41,prob1,prob2,min,sec,classLabel
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,2,57,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,10,3,0.3,0.3,0.3,0,0,0,0,0,1.00E+00,1.79E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,1,1,1,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,71,255,1,0,0.01,0.01,0,0,0,0,1,0,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,1,1,1,230,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,1,0,0.11,3,255,1,0,0.33,0.07,0.33,0,0,0,1,0,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,252,0.99,0.01,0,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
1,1,19,1,3170,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,54,39,0.72,0.11,0.02,0,0.02,0,0.09,0.13,0.99834865,0.00166574,19,9,Bug
0,1,1,1,297,13787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,177,255,1,0,0.01,0.01,0,0,0,0,0.99746823,0.00249112,19,9,Bug
0,1,1,1,291,3542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,187,255,1,0,0.01,0.01,0,0,0,0,1.00E+00,6.08E-06,19,9,Bug
0,1,1,1,295,753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,1,0,0.09,196,255,1,0,0.01,0.01,0,0,0,0,1,0,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,1,1,1,268,9235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,58,255,1,0,0.02,0.05,0,0,0,0,9.99E-01,9.42E-04,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,253,0.99,0.01,0,0,0,0,0,0,1.00E+00,5.07E-07,19,9,Bug
0,1,1,1,223,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,0,19,9,Bug
0,1,1,1,227,8841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,9.99E-01,8.12E-04,19,9,Bug
0,1,1,1,222,19564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,0.9954393,0.00450224,19,9,Bug
0,1,49,1,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,77,33,0.34,0.08,0.34,0.06,0,0,0,0,0.9685087,0.03276175,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,1,49,1,35195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,92,44,0.43,0.07,0.43,0.05,0,0,0,0,0.9103533,0.09185407,19,9,Bug
0,1,49,1,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,103,54,0.49,0.06,0.49,0.04,0,0,0,0,0.99527025,0.00477338,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,1.00E+00,5.36E-07,19,9,Bug
0,1,19,1,559,336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,84,176,0.75,0.08,0.01,0.01,0.01,0.01,0.08,0.05,1.00E+00,1.31E-06,19,9,Bug
0,1,1,1,227,182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1,0,19,9,Bug
0,2,24,1,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,252,0.99,0.01,0,0,0,0,0,0,1.00E+00,5.66E-07,19,9,Bug
